t,j1,j2,j3,j4,j5,j6
7.90885,0.010118,0.261176,0.482563,0.111235,0.828539,-4.08713e-05
7.9759,0.0126895,0.26155,0.48188,0.0971267,0.827948,-4.08977e-05
8.03722,0.0152808,0.26195,0.481188,0.0827688,0.827482,-4.09243e-05
8.11204,0.0178913,0.262378,0.480489,0.0681698,0.827148,-4.09509e-05
8.17412,0.0205211,0.262833,0.479781,0.053336,0.826952,-4.09776e-05
8.22425,0.0231686,0.263318,0.479067,0.0382836,0.826899,-4.10044e-05
8.27789,0.0258315,0.263831,0.478346,0.0230327,0.826995,-4.10313e-05
8.34257,0.0285095,0.264374,0.477619,0.00759334,0.827245,-4.10583e-05
8.39842,0.0312023,0.264947,0.476886,-0.00802389,0.827655,-4.10854e-05
8.4512,0.0339075,0.265552,0.476148,-0.0237967,0.828228,-4.11126e-05
8.49818,0.0366246,0.266187,0.475405,-0.0397119,0.828968,-4.11399e-05
8.54988,0.0393523,0.266854,0.474657,-0.0557523,0.829879,-4.11673e-05
8.61125,0.0420885,0.267552,0.473906,-0.0718955,0.830964,-4.11949e-05
8.6628,0.0448329,0.268283,0.47315,-0.0881289,0.832224,-4.12225e-05
8.7061,0.0475838,0.269046,0.472392,-0.104432,0.833662,-4.12502e-05
8.74807,0.0503389,0.269841,0.471631,-0.12078,0.835279,-4.12781e-05
8.7961,0.0530967,0.270668,0.470868,-0.137154,0.837073,-4.1306e-05
8.85472,0.0558556,0.271527,0.470103,-0.153532,0.839046,-4.13341e-05
8.92872,0.058614,0.272417,0.469336,-0.169896,0.841195,-4.13623e-05
8.99477,0.0613704,0.273339,0.468568,-0.186224,0.84352,-4.13906e-05
9.07206,0.0641242,0.274292,0.4678,-0.202502,0.846018,-4.1419e-05
9.13281,0.0668732,0.275275,0.46703,-0.218708,0.848685,-4.14475e-05
9.18292,0.0696153,0.276288,0.466261,-0.234818,0.851519,-4.14761e-05
9.22759,0.0723488,0.277331,0.465491,-0.250813,0.854513,-4.15048e-05
9.27897,0.0750719,0.278402,0.464722,-0.266674,0.857662,-4.15336e-05
9.34017,0.0777818,0.279499,0.463954,-0.282374,0.86096,-4.15625e-05
9.39062,0.0804785,0.280623,0.463187,-0.297906,0.864401,-4.15914e-05
9.43275,0.0831604,0.281773,0.462422,-0.313252,0.867978,-4.16204e-05
9.47456,0.085826,0.282947,0.461657,-0.328397,0.871685,-4.16495e-05
9.52057,0.0884739,0.284144,0.460895,-0.343326,0.875513,-4.16786e-05
9.56467,0.0911029,0.285363,0.460134,-0.358024,0.879454,-4.17078e-05
9.60366,0.0937116,0.286602,0.459375,-0.37248,0.8835,-4.17371e-05
9.64431,0.0962987,0.287861,0.458618,-0.386681,0.887642,-4.17667e-05
9.68877,0.0988633,0.289137,0.457864,-0.400617,0.891872,-4.17964e-05
9.72757,0.101404,0.29043,0.457112,-0.414277,0.896179,-4.18263e-05
9.76216,0.103921,0.291738,0.456362,-0.427654,0.900556,-4.18563e-05
9.79947,0.106413,0.293059,0.455615,-0.440745,0.904996,-4.18864e-05
9.84318,0.108879,0.294392,0.454871,-0.453539,0.909487,-4.19165e-05
9.89335,0.111318,0.295736,0.454129,-0.46603,0.914021,-4.19467e-05
9.93551,0.113729,0.297088,0.453391,-0.478209,0.918586,-4.1977e-05
9.97288,0.116111,0.298446,0.452656,-0.490071,0.923175,-4.20072e-05
10.0146,0.118464,0.29981,0.451924,-0.501617,0.92778,-4.20374e-05
10.0623,0.120789,0.301177,0.451196,-0.512847,0.932392,-4.20674e-05
10.1071,0.123085,0.302547,0.450471,-0.523758,0.937004,-4.20974e-05
10.1563,0.125351,0.303918,0.449749,-0.534349,0.941608,-4.21272e-05
10.1997,0.127587,0.305287,0.449031,-0.544617,0.946195,-4.21569e-05
10.2356,0.129794,0.306654,0.448316,-0.554566,0.950759,-4.21865e-05
10.2719,0.13197,0.308016,0.447606,-0.564194,0.955292,-4.22163e-05
10.3115,0.134117,0.309374,0.446899,-0.573506,0.959789,-4.22461e-05
10.3457,0.136234,0.310724,0.446196,-0.582501,0.964241,-4.22759e-05
10.3779,0.138323,0.312066,0.445497,-0.591185,0.968646,-4.23059e-05
10.4133,0.140381,0.313398,0.444803,-0.599556,0.972995,-4.23359e-05
10.4523,0.14241,0.314718,0.444113,-0.607617,0.977283,-4.2366e-05
10.4968,0.14441,0.316026,0.443427,-0.615374,0.981507,-4.23962e-05
10.5341,0.146382,0.31732,0.442746,-0.622828,0.985659,-4.24264e-05
10.5724,0.148326,0.318598,0.44207,-0.629985,0.989738,-4.24567e-05
10.6179,0.150241,0.31986,0.441399,-0.636846,0.993738,-4.2487e-05
10.6594,0.15213,0.321104,0.440733,-0.643418,0.997656,-4.25173e-05
10.7064,0.153991,0.322329,0.440072,-0.649701,1.00149,-4.25477e-05
10.7416,0.155825,0.323534,0.439416,-0.655701,1.00523,-4.2578e-05
10.7699,0.157633,0.324717,0.438766,-0.66142,1.00888,-4.26084e-05
10.8003,0.159416,0.325878,0.438122,-0.666864,1.01244,-4.26388e-05
10.8336,0.161172,0.327015,0.437484,-0.672035,1.0159,-4.26692e-05
