t,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,
8.7961,1.58325,0.0638073,0.992715,3.03985,0.00229174,2.99625,
8.85472,1.58386,0.0657681,0.992641,3.02752,0.00239128,2.98257,
8.92872,1.58448,0.067728,0.99256,3.01515,0.00249086,2.96893,
8.99477,1.58509,0.0696871,0.992471,3.00274,0.00259039,2.95534,
9.07206,1.58571,0.0716461,0.992374,2.99031,0.00268981,2.94181,
9.13281,1.58632,0.0736048,0.992268,2.97787,0.00278902,2.92837,
9.18292,1.58694,0.075563,0.992154,2.96543,0.00288791,2.91503,
9.22759,1.58756,0.0775206,0.992032,2.953,0.00298638,2.90181,
9.27897,1.58817,0.0794775,0.991901,2.9406,0.00308433,2.88872,
9.34017,1.58879,0.081433,0.991763,2.92825,0.00318163,2.87579,
9.39062,1.5894,0.0833881,0.991616,2.91594,0.00327825,2.86301,
9.43275,1.59001,0.085343,0.991461,2.90369,0.0033741,2.85042,
9.47456,1.59063,0.0872976,0.991298,2.89151,0.00346911,2.838,
9.52057,1.59124,0.0892521,0.991127,2.87942,0.00356317,2.82579,
9.56467,1.59184,0.0912066,0.990949,2.86741,0.00365622,2.81378,
9.60366,1.59245,0.093161,0.990762,2.85551,0.00374818,2.80199,
9.64431,1.59305,0.0951155,0.990568,2.84373,0.00383898,2.79043,
9.68877,1.59365,0.0970701,0.990367,2.83207,0.00392856,2.7791,
9.72757,1.59425,0.099025,0.990158,2.82054,0.00401683,2.76801,
9.76216,1.59484,0.10098,0.989943,2.80915,0.00410375,2.75716,
9.79947,1.59543,0.102937,0.98972,2.7979,0.0041893,2.74655,
9.84318,1.59602,0.104894,0.989491,2.78682,0.00427339,2.7362,
9.89335,1.5966,0.106852,0.989255,2.7759,0.00435596,2.72611,
9.93551,1.59718,0.10881,0.989013,2.76516,0.00443696,2.71627,
9.97288,1.59775,0.110769,0.988766,2.7546,0.00451633,2.7067,
10.0146,1.59832,0.112728,0.988513,2.74423,0.00459405,2.69739,
10.0623,1.59888,0.114689,0.988254,2.73405,0.00467011,2.68833,
10.1071,1.59943,0.116651,0.987991,2.72407,0.00474447,2.67954,
10.1563,1.59998,0.118614,0.987723,2.7143,0.0048171,2.671,
10.1997,1.60052,0.120578,0.987451,2.70473,0.00488789,2.66272,
