t,j1,j2,j3,j4,j5,j6
8.80396,-0.192788,0.352897,0.670625,1.12536,1.1677,1.46399e-06
8.83034,-0.195116,0.353947,0.669871,1.1224,1.16966,1.46459e-06
8.86079,-0.197438,0.355005,0.669089,1.11939,1.17163,1.46519e-06
8.88613,-0.199756,0.356072,0.668277,1.11635,1.17361,1.4658e-06
8.90749,-0.202069,0.357146,0.667436,1.11326,1.1756,1.46641e-06
8.92888,-0.204377,0.358228,0.666565,1.11014,1.1776,1.46702e-06
8.95352,-0.20668,0.359319,0.665665,1.10697,1.17962,1.46764e-06
8.9821,-0.208977,0.360417,0.664735,1.10377,1.18164,1.46826e-06
9.01868,-0.211268,0.361523,0.663774,1.10052,1.18367,1.46889e-06
9.05591,-0.213553,0.362636,0.662783,1.09723,1.18572,1.46952e-06
9.10596,-0.215832,0.363757,0.661762,1.0939,1.18778,1.47015e-06
9.146,-0.218105,0.364886,0.66071,1.09053,1.18984,1.47078e-06
9.19842,-0.220371,0.366022,0.659628,1.08712,1.19192,1.47142e-06
9.23293,-0.22263,0.367166,0.658514,1.08367,1.19401,1.47207e-06
9.25772,-0.224882,0.368317,0.65737,1.08017,1.19611,1.47271e-06
9.27898,-0.227126,0.369476,0.656194,1.07663,1.19822,1.47336e-06
9.30195,-0.229363,0.370642,0.654986,1.07305,1.20034,1.47401e-06
9.33118,-0.231592,0.371815,0.653748,1.06943,1.20247,1.47467e-06
9.36926,-0.233813,0.372995,0.652477,1.06577,1.20461,1.47533e-06
9.39948,-0.236025,0.374182,0.651175,1.06206,1.20676,1.47599e-06
9.42812,-0.238229,0.375376,0.64984,1.05832,1.20893,1.47666e-06
9.46216,-0.240424,0.376577,0.648474,1.05453,1.2111,1.47733e-06
9.49158,-0.24261,0.377785,0.647075,1.05069,1.21328,1.47801e-06
9.52157,-0.244786,0.379,0.645644,1.04682,1.21548,1.47869e-06
9.54722,-0.246953,0.380222,0.64418,1.0429,1.21768,1.47937e-06
9.57284,-0.24911,0.38145,0.642684,1.03894,1.2199,1.48005e-06
9.6032,-0.251257,0.382685,0.641155,1.03494,1.22213,1.48074e-06
9.63366,-0.253393,0.383926,0.639593,1.03089,1.22437,1.48143e-06
9.66977,-0.255519,0.385174,0.637999,1.02681,1.22662,1.48213e-06
9.70048,-0.257634,0.386428,0.636371,1.02268,1.22888,1.48283e-06
9.7341,-0.259738,0.387689,0.634711,1.01851,1.23115,1.48353e-06
9.77872,-0.261831,0.388956,0.633017,1.01429,1.23344,1.48424e-06
