t,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,
9.52157,1.43451,-0.190996,0.79811,0.999174,-3.12474,0.995809,
9.54722,1.43465,-0.194488,0.797781,0.998985,-3.1224,0.995423,
9.57284,1.43481,-0.19798,0.797465,0.998775,-3.12003,0.995004,
9.6032,1.43498,-0.201473,0.797162,0.998543,-3.11763,0.994551,
9.63366,1.43516,-0.204967,0.796872,0.99829,-3.11518,0.994066,
9.66977,1.43537,-0.20846,0.796595,0.998015,-3.1127,0.993547,
9.70048,1.43559,-0.211954,0.796332,0.997717,-3.11018,0.992994,
9.7341,1.43582,-0.215447,0.796082,0.997396,-3.10762,0.992409,
9.77872,1.43607,-0.21894,0.795845,0.997051,-3.10503,0.99179,
9.81335,1.43634,-0.222432,0.795622,0.996683,-3.10239,0.991137,
9.84728,1.43663,-0.225924,0.795413,0.99629,-3.09972,0.990451,
9.89095,1.43693,-0.229416,0.795218,0.995873,-3.09701,0.989732,
9.92457,1.43725,-0.232906,0.795036,0.995431,-3.09426,0.98898,
9.95201,1.43759,-0.236396,0.794869,0.994964,-3.09147,0.988194,
9.98171,1.43794,-0.239884,0.794716,0.994471,-3.08865,0.987375,
10.0084,1.43832,-0.243372,0.794576,0.993952,-3.08578,0.986522,
10.037,1.43871,-0.246857,0.794451,0.993407,-3.08287,0.985637,
10.0715,1.43911,-0.250342,0.794341,0.992835,-3.07993,0.984718,
10.104,1.43954,-0.253824,0.794245,0.992236,-3.07695,0.983766,
10.1417,1.43998,-0.257305,0.794163,0.991609,-3.07392,0.982781,
10.1723,1.44044,-0.260783,0.794096,0.990955,-3.07086,0.981764,
10.1987,1.44092,-0.264259,0.794044,0.990272,-3.06775,0.980714,
10.2307,1.44142,-0.267733,0.794006,0.989561,-3.06461,0.979631,
10.2722,1.44194,-0.271204,0.793983,0.988821,-3.06143,0.978515,
10.3081,1.44247,-0.274673,0.793975,0.988053,-3.05821,0.977367,
10.3501,1.44302,-0.278138,0.793982,0.987254,-3.05494,0.976187,
10.3835,1.44359,-0.281601,0.794004,0.986427,-3.05164,0.974975,
10.4129,1.44418,-0.28506,0.794041,0.985569,-3.0483,0.973731,
10.4461,1.44479,-0.288516,0.794093,0.98468,-3.04491,0.972455,
10.476,1.44542,-0.291968,0.79416,0.983762,-3.04149,0.971147,
10.5106,1.44606,-0.295417,0.794243,0.982812,-3.03802,0.969809,
10.5577,1.44673,-0.298861,0.79434,0.981831,-3.03452,0.968439,
10.5969,1.44741,-0.302301,0.794453,0.980819,-3.03097,0.967038,
10.6278,1.44811,-0.305737,0.794581,0.979775,-3.02739,0.965606,
10.6607,1.44884,-0.309169,0.794725,0.978699,-3.02376,0.964144,
10.7009,1.44958,-0.312596,0.794883,0.977592,-3.0201,0.962652,
10.735,1.45034,-0.316018,0.795057,0.976451,-3.01639,0.961129,
10.7673,1.45111,-0.319434,0.795247,0.975278,-3.01265,0.959577,
10.7947,1.45191,-0.322846,0.795452,0.974072,-3.00886,0.957995,
10.82,1.45273,-0.326252,0.795672,0.972833,-3.00504,0.956385,
10.8492,1.45356,-0.329653,0.795908,0.97156,-3.00117,0.954745,
10.886,1.45442,-0.333048,0.796159,0.970254,-2.99727,0.953077,
10.9348,1.45529,-0.336437,0.796426,0.968914,-2.99332,0.95138,
10.9722,1.45618,-0.33982,0.796708,0.96754,-2.98934,0.949655,
11.0018,1.45709,-0.343196,0.797005,0.966132,-2.98531,0.947903,
11.0323,1.45802,-0.346566,0.797318,0.964689,-2.98125,0.946123,
11.0721,1.45897,-0.349929,0.797646,0.963212,-2.97715,0.944316,
11.1234,1.45994,-0.353286,0.797989,0.961699,-2.97301,0.942482,
11.166,1.46093,-0.356635,0.798348,0.960151,-2.96883,0.940622,
11.2178,1.46193,-0.359978,0.798722,0.958568,-2.96461,0.938735,
11.2607,1.46296,-0.363313,0.799111,0.956949,-2.96036,0.936823,
